"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"ABM_Unit4_model7.nlogox"
"social-influence-experiment"
"07/08/2026 16:45:24:111 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","broadcast","density","social","frac-influential","m","network","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with  [adopted?]"
"2","0.01","0.3","0.1","0.25","100","random","0.7","41","74","58","16"
"6","0.01","0.3","0.1","0.25","100","random","0.7","37","70","52","18"
"2","0.01","0.3","0.1","0.25","100","random","0.7","42","77","61","16"
"4","0.01","0.3","0.1","0.25","100","random","0.7","10","11","9","2"
"6","0.01","0.3","0.1","0.25","100","random","0.7","38","76","56","20"
"5","0.01","0.3","0.1","0.25","100","random","0.7","19","24","19","5"
"6","0.01","0.3","0.1","0.25","100","random","0.7","39","78","58","20"
"2","0.01","0.3","0.1","0.25","100","random","0.7","43","78","62","16"
"3","0.01","0.3","0.1","0.25","100","random","0.7","9","7","6","1"
"6","0.01","0.3","0.1","0.25","100","random","0.7","40","80","59","21"
"5","0.01","0.3","0.1","0.25","100","random","0.7","20","26","21","5"
"6","0.01","0.3","0.1","0.25","100","random","0.7","41","81","60","21"
"6","0.01","0.3","0.1","0.25","100","random","0.7","42","81","60","21"
"4","0.01","0.3","0.1","0.25","100","random","0.7","11","13","11","2"
"6","0.01","0.3","0.1","0.25","100","random","0.7","43","84","63","21"
"5","0.01","0.3","0.1","0.25","100","random","0.7","21","27","22","5"
"6","0.01","0.3","0.1","0.25","100","random","0.7","44","84","63","21"
"6","0.01","0.3","0.1","0.25","100","random","0.7","45","85","63","22"
"3","0.01","0.3","0.1","0.25","100","random","0.7","10","9","7","2"
"6","0.01","0.3","0.1","0.25","100","random","0.7","46","87","65","22"
"5","0.01","0.3","0.1","0.25","100","random","0.7","22","28","23","5"
"6","0.01","0.3","0.1","0.25","100","random","0.7","47","88","66","22"
"6","0.01","0.3","0.1","0.25","100","random","0.7","48","88","66","22"
"6","0.01","0.3","0.1","0.25","100","random","0.7","49","89","66","23"
"6","0.01","0.3","0.1","0.25","100","random","0.7","50","90","67","23"
"5","0.01","0.3","0.1","0.25","100","random","0.7","23","29","24","5"
"6","0.01","0.3","0.1","0.25","100","random","0.7","51","90","67","23"
"3","0.01","0.3","0.1","0.25","100","random","0.7","11","12","10","2"
"6","0.01","0.3","0.1","0.25","100","random","0.7","52","90","67","23"
"6","0.01","0.3","0.1","0.25","100","random","0.7","53","90","67","23"
"6","0.01","0.3","0.1","0.25","100","random","0.7","54","91","68","23"
"5","0.01","0.3","0.1","0.25","100","random","0.7","24","33","26","7"
"6","0.01","0.3","0.1","0.25","100","random","0.7","55","91","68","23"
"6","0.01","0.3","0.1","0.25","100","random","0.7","56","93","68","25"
"4","0.01","0.3","0.1","0.25","100","random","0.7","12","13","11","2"
"6","0.01","0.3","0.1","0.25","100","random","0.7","57","94","69","25"
"6","0.01","0.3","0.1","0.25","100","random","0.7","58","95","70","25"
"5","0.01","0.3","0.1","0.25","100","random","0.7","25","37","28","9"
"6","0.01","0.3","0.1","0.25","100","random","0.7","59","96","71","25"
"6","0.01","0.3","0.1","0.25","100","random","0.7","60","97","72","25"
"6","0.01","0.3","0.1","0.25","100","random","0.7","61","99","74","25"
"6","0.01","0.3","0.1","0.25","100","random","0.7","62","99","74","25"
"6","0.01","0.3","0.1","0.25","100","random","0.7","63","100","75","25"
"5","0.01","0.3","0.1","0.25","100","random","0.7","26","41","30","11"
"4","0.01","0.3","0.1","0.25","100","random","0.7","13","14","12","2"
"5","0.01","0.3","0.1","0.25","100","random","0.7","27","44","33","11"
"2","0.01","0.3","0.1","0.25","100","random","0.7","44","80","62","18"
"3","0.01","0.3","0.1","0.25","100","random","0.7","12","15","12","3"
"5","0.01","0.3","0.1","0.25","100","random","0.7","28","45","34","11"
"2","0.01","0.3","0.1","0.25","100","random","0.7","45","81","63","18"
"4","0.01","0.3","0.1","0.25","100","random","0.7","14","17","14","3"
